rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
9039,Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,Action,Disney Interactive Studios,0.0,0.11,0.0,0.03,0.14
9040,Iron & Blood,PS,1996,Fighting,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14
9041,Asphalt: Urban GT 2,DS,2006,Racing,Ubisoft,0.09,0.04,0.0,0.01,0.14
9042,Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,System 3 Arcade Software,0.13,0.0,0.0,0.01,0.14
9043,Second Sight,PS2,2004,Adventure,Codemasters,0.07,0.05,0.0,0.02,0.14
9044,Spider-Man: Edge of Time,DS,2011,Action,Activision,0.12,0.01,0.0,0.01,0.14
9045,Monster House,PS2,2006,Adventure,THQ,0.07,0.05,0.0,0.02,0.14
9046,Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,0.07,0.05,0.0,0.02,0.14
9047,Just Cause,X360,2006,Action,Eidos Interactive,0.1,0.03,0.01,0.01,0.14
9048,ArmA II,PC,2009,Shooter,505 Games,0.0,0.12,0.0,0.03,0.14
9049,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,0.08,0.05,0.0,0.01,0.14
9050,Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,Spike,0.0,0.0,0.14,0.0,0.14
9051,Legend of the Guardians: The Owls of Ga'Hoole,DS,2010,Action,Warner Bros. Interactive Entertainment,0.11,0.02,0.0,0.01,0.14
9052,Doshin the Giant,GC,2002,Simulation,Nintendo,0.0,0.0,0.14,0.0,0.14
9053,Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,0.1,0.04,0.0,0.0,0.14
9054,Star Ocean: Blue Sphere,GB,2001,Role-Playing,Enix Corporation,0.0,0.0,0.14,0.0,0.14
9055,Mojo!,PS2,2003,Puzzle,Mindscape,0.07,0.05,0.0,0.02,0.14
9056,Destroy All Humans! Big Willy Unleashed,Wii,2008,Action,THQ,0.13,0.0,0.0,0.01,0.14
9057,Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14
9058,Ford Racing Off Road,PSP,2008,Racing,Xplosiv,0.05,0.08,0.0,0.02,0.14
9059,Kamen Rider Ryuki,PS,2002,Action,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14
9060,Front Mission Alternative,PS,1997,Strategy,SquareSoft,0.0,0.0,0.13,0.01,0.14
9061,World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,505 Games,0.13,0.0,0.0,0.01,0.14
9062,FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14
9063,Cave Story 3D,3DS,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14
9064,The Orange Box,PC,2007,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14
9065,Super Dodgeball Brawlers,DS,2008,Sports,Arc System Works,0.13,0.0,0.0,0.01,0.14
9066,Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,0.07,0.0,0.06,0.01,0.14
9067,Record of Agarest War 2,PS3,2010,Role-Playing,Compile Heart,0.09,0.0,0.04,0.01,0.14
9068,SBK 2011: FIM Superbike World Championship,PS3,2011,Racing,Black Bean Games,0.01,0.1,0.0,0.03,0.14
9069,Power Stone,DC,1998,Fighting,Eidos Interactive,0.0,0.0,0.14,0.0,0.14
9070,Jonny Moseley Mad Trix,PS2,2001,Sports,3DO,0.07,0.05,0.0,0.02,0.14
9071,Monster Lab,DS,2008,Role-Playing,Eidos Interactive,0.12,0.01,0.0,0.01,0.14
9072,Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,Broccoli,0.0,0.0,0.14,0.0,0.14
9073,Senran Kagura Burst: Guren no Sh?jo-tachi,3DS,2012,Action,Marvelous Entertainment,0.0,0.0,0.14,0.0,0.14
9074,MTV Music Generator 3: This Is the Remix,PS2,2004,Misc,Codemasters,0.07,0.05,0.0,0.02,0.14
9075,Cake Mania 3,DS,2009,Simulation,Majesco Entertainment,0.13,0.0,0.0,0.01,0.14
9077,Terminator 3: Rise of the Machines,XB,2003,Action,Atari,0.11,0.03,0.0,0.01,0.14
9078,Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,0.01,0.1,0.0,0.02,0.14
9079,SSX On Tour,XB,2005,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.14
9080,NCAA College Basketball 2K3,XB,2002,Sports,Sega,0.11,0.03,0.0,0.01,0.14
9081,Class of Heroes,PSP,2008,Role-Playing,Acquire,0.06,0.0,0.08,0.01,0.14
9082,Yogi Bear: The Video Game,DS,2010,Action,D3Publisher,0.1,0.03,0.0,0.01,0.14
9083,Our House Party!,Wii,,Simulation,Unknown,0.13,0.0,0.0,0.01,0.14
9084,The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0,0.14
9085,Cranium Kabookii,Wii,2007,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14
9086,Hero's Saga Laevatein Tactics,DS,2008,Role-Playing,GungHo,0.13,0.0,0.0,0.01,0.14
9087,Doom,GBA,2001,Shooter,Activision,0.1,0.04,0.0,0.0,0.14
9088,Gundam Breaker 2,PS3,2014,Action,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
9089,TRINITY: Souls of Zill O'll,PS3,2010,Role-Playing,Ubisoft Annecy,0.06,0.03,0.03,0.02,0.14
9090,Mary-Kate and Ashley: Winners Circle,PS,2001,Action,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14
9091,PaRappa The Rapper 2,PS2,2001,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
9092,Hexyz Force,PSP,2009,Role-Playing,Atlus,0.07,0.0,0.06,0.01,0.14
9093,OutRun 2,XB,2004,Racing,Sega,0.11,0.03,0.0,0.01,0.14
9094,Okami,PS3,2012,Action,Capcom,0.0,0.0,0.14,0.0,0.14
9095,Marvel vs. Capcom 2: New Age of Heroes,DC,2000,Fighting,Virgin Interactive,0.0,0.0,0.14,0.0,0.14
9096,Hitman: Blood Money,XB,2006,Action,Eidos Interactive,0.11,0.03,0.0,0.01,0.14
9097,Soukaigi,PS,1998,Role-Playing,SquareSoft,0.0,0.0,0.13,0.01,0.14
9098,Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,D3Publisher,0.0,0.01,0.13,0.0,0.14
9099,Xevious 3D/G+,PS,1997,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14
9100,Pipe Mania,PS2,2008,Puzzle,Empire Interactive,0.07,0.05,0.0,0.02,0.14
9101,Gretzky NHL 06,PSP,2005,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.14
9102,Shonen Jump's Shaman King: Master of Spirits,GBA,2004,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.14
9103,PANGYA: Fantasy Golf,PSP,2009,Sports,Takara Tomy,0.09,0.0,0.04,0.01,0.14
9104,NFL Blitz 20-03,XB,2002,Sports,Midway Games,0.11,0.03,0.0,0.01,0.14
9105,Sumikko Gurashi: Omise Hajimerundesu,3DS,2015,Action,Nippon Columbia,0.0,0.0,0.14,0.0,0.14
9106,Pirates: The Legend of Black Kat,PS2,2002,Adventure,Electronic Arts,0.07,0.05,0.0,0.02,0.14
9107,Fur Fighters: Viggo's Revenge,PS2,2001,Action,Acclaim Entertainment,0.07,0.05,0.0,0.02,0.14
9108,Krull,2600,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14
9109,Yu-Gi-Oh! Monster Capture GB,GB,2000,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
9110,Risen,PC,2009,Role-Playing,Deep Silver,0.0,0.11,0.0,0.03,0.14
9111,Top Spin 3,DS,2008,Action,D3Publisher,0.11,0.02,0.0,0.01,0.14
9112,Zapper: One Wicked Cricket!,GBA,2002,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14
9113,The Da Vinci Code,PS2,2006,Action,Take-Two Interactive,0.07,0.05,0.0,0.02,0.14
9114,Watch Dogs,WiiU,2014,Action,Ubisoft,0.08,0.05,0.0,0.01,0.14
9115,Mr. Driller: Drill Spirits,DS,2004,Puzzle,Nintendo,0.08,0.0,0.05,0.01,0.14
9116,Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,0.13,0.0,0.0,0.01,0.14
9117,Scooby-Doo! Night of 100 Frights,XB,2003,Platform,THQ,0.11,0.03,0.0,0.01,0.14
9118,MX vs. ATV Reflex,DS,2009,Racing,THQ,0.13,0.0,0.0,0.01,0.14
9119,Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,0.07,0.06,0.0,0.02,0.14
9120,Chicken Shoot,DS,2007,Action,Zoo Digital Publishing,0.13,0.0,0.0,0.01,0.14
9121,Dead to Rights,GC,2002,Shooter,Electronic Arts,0.11,0.03,0.0,0.0,0.14
9122,Sphinx and the Cursed Mummy,GC,2003,Action,THQ,0.11,0.03,0.0,0.0,0.14
9123,Cabela's Outdoor Adventures (2009),PS2,2009,Sports,Activision Value,0.07,0.05,0.0,0.02,0.14
9124,T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,Sunsoft,0.08,0.05,0.0,0.01,0.14
9125,Naruto RPG 2: Chidori vs Rasengan,DS,2005,Role-Playing,Tomy Corporation,0.0,0.0,0.14,0.0,0.14
9126,Destruction Derby Raw,PS,2000,Racing,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14
9127,Project V6,PS,1998,Strategy,General Entertainment,0.0,0.0,0.13,0.01,0.14
9128,Farming Simulator 2012,3DS,2012,Action,Excalibur Publishing,0.0,0.12,0.0,0.02,0.14
9129,NFL Head Coach 09,PS3,2008,Sports,Electronic Arts,0.13,0.0,0.0,0.01,0.14
9130,World Tour Soccer 2003,PS2,2002,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
9131,Akiba's Trip,PSP,2011,Adventure,Acquire,0.0,0.0,0.14,0.0,0.14
9132,Bravo Air Race,PS,1997,Racing,THQ,0.08,0.05,0.0,0.01,0.14
9133,Onimusha Essentials,PS2,2008,Action,Capcom,0.07,0.05,0.0,0.02,0.14
9134,Blazing Angels 2: Secret Missions of WWII,X360,2007,Simulation,Ubisoft,0.11,0.02,0.0,0.01,0.14
9135,Gundam: The Battle Master,PS,1997,Fighting,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14
9136,Spyro: A Hero's Tail,XB,2004,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.14
9137,¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0.0,0.0,0.14,0.0,0.14
9138,Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0.0,0.01,0.14
9139,Eternal Poison,PS2,2008,Role-Playing,Banpresto,0.07,0.05,0.0,0.02,0.14
9140,Lord of the Rings: Tactics,PSP,2005,Strategy,Electronic Arts,0.11,0.02,0.0,0.02,0.14
9141,X-Blades,X360,2009,Action,SouthPeak Games,0.1,0.02,0.02,0.01,0.14
9142,Gretzky NHL 06,PS2,2005,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
9143,Gungrave: Overdose,PS2,2004,Shooter,Play It,0.07,0.05,0.0,0.02,0.14
9144,Kidou Senshi Gundam: Shin Gihren no Yabou,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
9145,How to Train Your Dragon,X360,2010,Action,Activision,0.11,0.02,0.0,0.01,0.14
9146,Your Shape: Fitness Evolved 2013,WiiU,2012,Action,Ubisoft,0.06,0.07,0.0,0.01,0.14
9147,My Fitness Coach: Club,PS3,2011,Sports,Ubisoft,0.0,0.1,0.0,0.04,0.14
9148,NBA ShootOut 2002,PS,2001,Sports,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14
9149,SingStar Vol. 3,PS3,2008,Misc,Sony Computer Entertainment,0.0,0.11,0.0,0.03,0.14
9150,The Granstream Saga,PS,1997,Role-Playing,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14
9151,Scene It? Bright Lights! Big Screen!,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.13,0.0,0.0,0.01,0.14
9152,"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",PSP,2007,Role-Playing,Nippon Ichi Software,0.0,0.0,0.13,0.0,0.14
9153,WCW Backstage Assault,N64,,Action,Unknown,0.11,0.03,0.0,0.0,0.14
9154,Micro Machines 64 Turbo,N64,1999,Racing,Codemasters,0.11,0.03,0.0,0.0,0.14
9155,Bassmasters 2000,N64,1999,Sports,THQ,0.11,0.03,0.0,0.0,0.14
9156,Baldur's Gate: Dark Alliance,GC,2002,Role-Playing,Virgin Interactive,0.11,0.03,0.0,0.0,0.14
9157,Bio FREAKS,N64,1998,Action,GT Interactive,0.11,0.03,0.0,0.0,0.14
9158,Eternal Eyes,PS,1999,Role-Playing,Sunsoft,0.08,0.05,0.0,0.01,0.14
9159,Injustice: Gods Among Us,PSV,2013,Fighting,Warner Bros. Interactive Entertainment,0.11,0.01,0.0,0.02,0.14
9160,Fate/Unlimited Codes,PS2,2008,Fighting,Capcom,0.0,0.0,0.14,0.0,0.14
9161,Atari's Greatest Hits: Volume 1,DS,2010,Misc,Atari,0.13,0.0,0.0,0.01,0.14
9162,The Operative: No One Lives Forever,PS2,2002,Shooter,Electronic Arts,0.07,0.05,0.0,0.02,0.14
9163,International Cricket 2010,X360,2010,Sports,Codemasters,0.0,0.12,0.0,0.02,0.14
9164,Epidemic,PS,1995,Shooter,Sony Computer Entertainment,0.02,0.01,0.1,0.01,0.14
9165,Monster House,GC,2006,Adventure,THQ,0.11,0.03,0.0,0.0,0.14
9166,Dead or Alive 2,DC,2000,Fighting,Acclaim Entertainment,0.0,0.0,0.14,0.0,0.14
9167,Buck Fever,Wii,2009,Sports,Destineer,0.13,0.0,0.0,0.01,0.14
9168,NCAA Basketball Final Four 97,PS,1997,Sports,Mindscape,0.08,0.05,0.0,0.01,0.14
9169,Ecco the Dolphin: Defender of the Future,PS2,2002,Adventure,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
9170,Heroes over Europe,X360,2009,Simulation,Ubisoft,0.1,0.03,0.0,0.01,0.14
9171,The Bombing Islands,PS,1997,Platform,Kemco,0.08,0.05,0.0,0.01,0.14
9172,Earth Defense Force 2: Invaders from Planet Space,PSP,2011,Action,D3Publisher,0.0,0.0,0.14,0.0,0.14
9173,Bejeweled 3,PS3,,Puzzle,Unknown,0.13,0.0,0.0,0.01,0.14
9174,Monster Jam,DS,2007,Racing,Activision,0.13,0.0,0.0,0.01,0.14
9175,Robots,DS,2005,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14
9176,Gyakuten Saiban 2,GBA,2002,Action,Capcom,0.0,0.0,0.14,0.0,0.14
9177,Godzilla: Save the Earth,XB,2004,Fighting,Atari,0.1,0.03,0.0,0.0,0.14
9178,Skylanders Giants,3DS,2012,Action,Activision,0.12,0.01,0.0,0.01,0.14
9179,Eragon,X360,2006,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14
9180,Micro Machines,PS2,2002,Racing,Atari,0.07,0.05,0.0,0.02,0.14
9181,Detective Barbie: The Mystery Cruise,PS,1999,Adventure,Mattel Interactive,0.08,0.05,0.0,0.01,0.14
9182,Jim Henson's the Muppets: On With the Show!,GBA,2003,Action,TDK Mediactive,0.1,0.04,0.0,0.0,0.14
9183,Desire,SAT,1997,Adventure,Imadio,0.0,0.0,0.14,0.0,0.14
9184,Valhalla Knights: Eldar Saga,Wii,2009,Role-Playing,Rising Star Games,0.1,0.01,0.01,0.01,0.14
9185,Lips: I Love The 80s,X360,2010,Misc,Microsoft Game Studios,0.0,0.12,0.0,0.02,0.14
9186,Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015,Action,Capcom,0.0,0.0,0.14,0.0,0.14
9187,Frank Thomas Big Hurt Baseball,PS,1996,Sports,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14
9188,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14
9189,Power Pro Kun Pocket 8,DS,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
9190,Sid Meier's Pirates!,XB,2005,Strategy,Take-Two Interactive,0.11,0.03,0.0,0.01,0.14
9191,Enclave,XB,2002,Adventure,Swing! Entertainment,0.11,0.03,0.0,0.01,0.14
9192,Bottom of the 9th,PS,1996,Sports,Konami Digital Entertainment,0.08,0.05,0.0,0.01,0.14
9193,Pro Yaky? Spirits 2014,PS3,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
9194,Dino Crisis 3,XB,2003,Action,Capcom,0.08,0.03,0.03,0.0,0.14
9195,Syberia,DS,2008,Action,Mindscape,0.1,0.02,0.0,0.01,0.14
9196,Zoobles! Spring to Life!,DS,2011,Misc,Activision,0.1,0.02,0.0,0.01,0.14
9197,NFL Blitz 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0.0,0.0,0.14
9198,The King of Fighters '94 (CD),NG,1993,Fighting,SNK,0.0,0.0,0.14,0.0,0.14
9199,The Walking Dead: Season Two,XOne,2014,Adventure,Telltale Games,0.08,0.05,0.0,0.01,0.14
9200,Master Jin Jin's IQ Challenge,DS,2006,Misc,505 Games,0.13,0.0,0.0,0.01,0.14
9201,The Darkness II,PC,2012,Shooter,Take-Two Interactive,0.1,0.03,0.0,0.01,0.14
9202,Create,X360,2010,Action,Electronic Arts,0.1,0.03,0.0,0.01,0.14
9203,Karaoke Revolution Glee: Volume 3,X360,2011,Misc,Konami Digital Entertainment,0.13,0.0,0.0,0.01,0.14
9204,Barbie Explorer,PS,2001,Platform,Unknown,0.08,0.05,0.0,0.01,0.14
9205,Rango: The Video Game,Wii,2011,Action,Electronic Arts,0.08,0.04,0.0,0.01,0.14
9206,Disney's Chicken Little,XB,2005,Platform,Disney Interactive Studios,0.1,0.03,0.0,0.0,0.14
9207,Power Gig: Rise of the SixString,PS3,2010,Misc,Unknown,0.13,0.0,0.0,0.01,0.14
9208,Transformers: Prime,WiiU,2012,Action,Activision,0.09,0.03,0.0,0.01,0.14
9209,Agile Warrior F-111X,PS,1995,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01,0.14
9210,NCIS,X360,2011,Adventure,Ubisoft,0.1,0.03,0.0,0.01,0.14
9211,Jikkyou Powerful Pro Yakyuu Wii,Wii,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
9212,Reality Fighters,PSV,2012,Fighting,Sony Computer Entertainment,0.06,0.06,0.0,0.03,0.14
9213,Dynasty Warriors 7: Empires,PS3,2012,Action,Ubisoft Annecy,0.0,0.0,0.14,0.0,0.14
9214,Cabela's African Safari,X360,2006,Sports,Activision Value,0.13,0.0,0.0,0.01,0.14
9215,Ben 10 Galactic Racing,DS,2011,Racing,D3Publisher,0.1,0.03,0.0,0.01,0.14
9216,College Hoops 2K8,PS3,2007,Sports,Take-Two Interactive,0.13,0.0,0.0,0.01,0.14
9217,Super Puzzle Fighter II Turbo,PS,1996,Puzzle,Virgin Interactive,0.08,0.05,0.0,0.01,0.14
9218,Ninjatown,DS,2008,Strategy,SouthPeak Games,0.12,0.0,0.0,0.01,0.14
9219,Star Wars: Jedi Power Battles,GBA,2002,Action,THQ,0.1,0.04,0.0,0.0,0.14
9220,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,2002,Fighting,Namco Bandai Games,0.04,0.01,0.08,0.0,0.14
9221,Hard Rock Casino,PSP,2007,Misc,Oxygen Interactive,0.12,0.0,0.0,0.01,0.14
9222,Space Venus starring Morning Musume,PS2,2001,Misc,Sony Music Entertainment,0.0,0.0,0.14,0.0,0.14
9223,To Heart,PS,1999,Adventure,Aqua Plus,0.0,0.0,0.13,0.01,0.14
9224,Wild ARMs XF,PSP,2007,Role-Playing,505 Games,0.07,0.0,0.06,0.01,0.14
9225,Doukyuusei,TG16,1995,Adventure,NEC,0.0,0.0,0.14,0.0,0.14
9226,RockMan & Forte,SNES,1998,Platform,Capcom,0.0,0.0,0.14,0.0,0.14
9227,Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0.0,0.01,0.13,0.0,0.14
9228,NBA 2K13,WiiU,2012,Sports,Take-Two Interactive,0.08,0.04,0.0,0.01,0.14
9229,Science Papa,Wii,2009,Misc,Activision,0.12,0.01,0.0,0.01,0.14
9230,Yu-Gi-Oh! Nightmare Troubadour (JP sales),DS,2005,Action,Konami Digital Entertainment,0.0,0.04,0.1,0.0,0.14
9231,MySims Collection,Wii,2010,Misc,Electronic Arts,0.13,0.0,0.0,0.01,0.14
9232,Cities: Skylines,PC,2015,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14
9233,Football Manager 2012,PSP,2011,Sports,Sega,0.0,0.1,0.0,0.04,0.14
9234,Ape Escape Academy (jp sales),PSP,2004,Misc,Sony Computer Entertainment,0.0,0.0,0.13,0.0,0.14
9235,FIFA 06 Soccer,GC,2005,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14
9236,Rayman Arena,GC,2002,Racing,Ubisoft,0.11,0.03,0.0,0.0,0.14
9237,PaRappa The Rapper,PSP,2006,Misc,Sony Computer Entertainment,0.1,0.0,0.02,0.01,0.14
9238,4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0.0,0.0,0.14
9239,X-Blades,PS3,2009,Action,SouthPeak Games,0.07,0.03,0.02,0.02,0.14
9240,Pro Yakyuu Netsu Star 2006,PS2,2006,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
9241,The History Channel: Civil War - A Nation Divided,X360,2006,Shooter,Activision,0.13,0.0,0.0,0.01,0.14
9242,Zetta Hero Project: Unlosing Ranger vs. Darkdeath Evilman,PSP,2010,Role-Playing,Nippon Ichi Software,0.07,0.0,0.06,0.01,0.14
9243,Cyber Sled,PS,1995,Action,Sony Computer Entertainment,0.0,0.0,0.13,0.01,0.14
9244,Puyo Puyo!! 20th Anniversary,DS,2011,Puzzle,Sega,0.0,0.0,0.14,0.0,0.14
9245,Famista Returns,3DS,2015,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
9246,Bust-A-Move Deluxe,PSP,2006,Puzzle,505 Games,0.13,0.0,0.0,0.01,0.14
9247,I Spy: Universe,DS,2010,Puzzle,Scholastic Inc.,0.13,0.0,0.0,0.01,0.14
9248,Shining Soul,GBA,2002,Role-Playing,Atari,0.03,0.01,0.09,0.0,0.14
9249,Littlest Pet Shop: Spring,DS,2009,Simulation,Electronic Arts,0.12,0.0,0.0,0.01,0.14
9251,Alvin and the Chipmunks,DS,2007,Misc,Brash Entertainment,0.12,0.0,0.0,0.01,0.14
9252,Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.09,0.0,0.01,0.14
9253,Bejeweled 3,X360,,Puzzle,Unknown,0.13,0.0,0.0,0.01,0.14
9254,Need for Speed Underground 2,DS,2005,Racing,Electronic Arts,0.11,0.02,0.0,0.01,0.14
